"Step","13-x2ct-20250607_010214 - val_auc","13-x2ct-20250607_010214 - val_auc__MIN","13-x2ct-20250607_010214 - val_auc__MAX","30-x2ct-20250605_051616 - val_auc","30-x2ct-20250605_051616 - val_auc__MIN","30-x2ct-20250605_051616 - val_auc__MAX","29-x2ct-20250605_050310 - val_auc","29-x2ct-20250605_050310 - val_auc__MIN","29-x2ct-20250605_050310 - val_auc__MAX","28-x2ct-20250605_050152 - val_auc","28-x2ct-20250605_050152 - val_auc__MIN","28-x2ct-20250605_050152 - val_auc__MAX","26-x2ct-20250605_050026 - val_auc","26-x2ct-20250605_050026 - val_auc__MIN","26-x2ct-20250605_050026 - val_auc__MAX","27-x2ct-20250605_045920 - val_auc","27-x2ct-20250605_045920 - val_auc__MIN","27-x2ct-20250605_045920 - val_auc__MAX","25-x2ct-20250605_042726 - val_auc","25-x2ct-20250605_042726 - val_auc__MIN","25-x2ct-20250605_042726 - val_auc__MAX","24-x2ct-20250605_042150 - val_auc","24-x2ct-20250605_042150 - val_auc__MIN","24-x2ct-20250605_042150 - val_auc__MAX","23-x2ct-20250605_040620 - val_auc","23-x2ct-20250605_040620 - val_auc__MIN","23-x2ct-20250605_040620 - val_auc__MAX","22-x2ct-20250605_032711 - val_auc","22-x2ct-20250605_032711 - val_auc__MIN","22-x2ct-20250605_032711 - val_auc__MAX","21-x2ct-20250605_031244 - val_auc","21-x2ct-20250605_031244 - val_auc__MIN","21-x2ct-20250605_031244 - val_auc__MAX","20-x2ct-20250605_030844 - val_auc","20-x2ct-20250605_030844 - val_auc__MIN","20-x2ct-20250605_030844 - val_auc__MAX","19-x2ct-20250605_023333 - val_auc","19-x2ct-20250605_023333 - val_auc__MIN","19-x2ct-20250605_023333 - val_auc__MAX","18-x2ct-20250605_022611 - val_auc","18-x2ct-20250605_022611 - val_auc__MIN","18-x2ct-20250605_022611 - val_auc__MAX","16-x2ct-20250605_021715 - val_auc","16-x2ct-20250605_021715 - val_auc__MIN","16-x2ct-20250605_021715 - val_auc__MAX","17-x2ct-20250605_021715 - val_auc","17-x2ct-20250605_021715 - val_auc__MIN","17-x2ct-20250605_021715 - val_auc__MAX","15-x2ct-20250605_014356 - val_auc","15-x2ct-20250605_014356 - val_auc__MIN","15-x2ct-20250605_014356 - val_auc__MAX","14-x2ct-20250605_013513 - val_auc","14-x2ct-20250605_013513 - val_auc__MIN","14-x2ct-20250605_013513 - val_auc__MAX","12-x2ct-20250605_013414 - val_auc","12-x2ct-20250605_013414 - val_auc__MIN","12-x2ct-20250605_013414 - val_auc__MAX","11-x2ct-20250605_002211 - val_auc","11-x2ct-20250605_002211 - val_auc__MIN","11-x2ct-20250605_002211 - val_auc__MAX","10-x2ct-20250605_001405 - val_auc","10-x2ct-20250605_001405 - val_auc__MIN","10-x2ct-20250605_001405 - val_auc__MAX","9-x2ct-20250604_235138 - val_auc","9-x2ct-20250604_235138 - val_auc__MIN","9-x2ct-20250604_235138 - val_auc__MAX","8-x2ct-20250604_233322 - val_auc","8-x2ct-20250604_233322 - val_auc__MIN","8-x2ct-20250604_233322 - val_auc__MAX","7-x2ct-20250604_230121 - val_auc","7-x2ct-20250604_230121 - val_auc__MIN","7-x2ct-20250604_230121 - val_auc__MAX","6-x2ct-20250604_223606 - val_auc","6-x2ct-20250604_223606 - val_auc__MIN","6-x2ct-20250604_223606 - val_auc__MAX","5-x2ct-20250604_222605 - val_auc","5-x2ct-20250604_222605 - val_auc__MIN","5-x2ct-20250604_222605 - val_auc__MAX","3-x2ct-20250604_215732 - val_auc","3-x2ct-20250604_215732 - val_auc__MIN","3-x2ct-20250604_215732 - val_auc__MAX","4-x2ct-20250604_215658 - val_auc","4-x2ct-20250604_215658 - val_auc__MIN","4-x2ct-20250604_215658 - val_auc__MAX","2-x2ct-20250604_215106 - val_auc","2-x2ct-20250604_215106 - val_auc__MIN","2-x2ct-20250604_215106 - val_auc__MAX","1-x2ct-20250604_214206 - val_auc","1-x2ct-20250604_214206 - val_auc__MIN","1-x2ct-20250604_214206 - val_auc__MAX"
"0","0.476679104477612","0.476679104477612","0.476679104477612","0.6114072494669509","0.6114072494669509","0.6114072494669509","0.5727611940298507","0.5727611940298507","0.5727611940298507","0.5955490405117271","0.5955490405117271","0.5955490405117271","0.4504264392324094","0.4504264392324094","0.4504264392324094","0.5398454157782516","0.5398454157782516","0.5398454157782516","0.470615671641791","0.470615671641791","0.470615671641791","0.5202558635394458","0.5202558635394458","0.5202558635394458","0.4654850746268656","0.4654850746268656","0.4654850746268656","0.5009328358208955","0.5009328358208955","0.5009328358208955","0.5222547974413646","0.5222547974413646","0.5222547974413646","0.4657515991471215","0.4657515991471215","0.4657515991471215","0.5467750533049041","0.5467750533049041","0.5467750533049041","0.6162046908315564","0.6162046908315564","0.6162046908315564","0.6275319829424307","0.6275319829424307","0.6275319829424307","0.49826759061833686","0.49826759061833686","0.49826759061833686","0.6222014925373135","0.6222014925373135","0.6222014925373135","0.5137260127931771","0.5137260127931771","0.5137260127931771","0.4426972281449893","0.4426972281449893","0.4426972281449893","0.5930170575692963","0.5930170575692963","0.5930170575692963","0.5503731343283582","0.5503731343283582","0.5503731343283582","0.7264125799573561","0.7264125799573561","0.7264125799573561","0.6672441364605545","0.6672441364605545","0.6672441364605545","0.5999466950959488","0.5999466950959488","0.5999466950959488","0.5430437100213219","0.5430437100213219","0.5430437100213219","0.6199360341151385","0.6199360341151385","0.6199360341151385","0.5411780383795309","0.5411780383795309","0.5411780383795309","0.5723614072494669","0.5723614072494669","0.5723614072494669","0.709221748400853","0.709221748400853","0.709221748400853","0.6056769722814499","0.6056769722814499","0.6056769722814499"
"1","0.6283315565031983","0.6283315565031983","0.6283315565031983","0.6389925373134329","0.6389925373134329","0.6389925373134329","0.7548640724946696","0.7548640724946696","0.7548640724946696","0.6327292110874201","0.6327292110874201","0.6327292110874201","0.7651918976545843","0.7651918976545843","0.7651918976545843","0.779184434968017","0.779184434968017","0.779184434968017","0.8007729211087421","0.8007729211087421","0.8007729211087421","0.6472547974413646","0.6472547974413646","0.6472547974413646","0.7429371002132197","0.7429371002132197","0.7429371002132197","0.6361940298507462","0.6361940298507462","0.6361940298507462","0.7903784648187633","0.7903784648187633","0.7903784648187633","0.6349946695095949","0.6349946695095949","0.6349946695095949","0.6003464818763327","0.6003464818763327","0.6003464818763327","0.7018923240938166","0.7018923240938166","0.7018923240938166","0.7282782515991472","0.7282782515991472","0.7282782515991472","0.7356076759061835","0.7356076759061835","0.7356076759061835","0.6517857142857143","0.6517857142857143","0.6517857142857143","0.6155383795309168","0.6155383795309168","0.6155383795309168","0.6704424307036247","0.6704424307036247","0.6704424307036247","0.6604477611940298","0.6604477611940298","0.6604477611940298","0.6126066098081024","0.6126066098081024","0.6126066098081024","0.6704424307036246","0.6704424307036246","0.6704424307036246","0.47681236673773986","0.47681236673773986","0.47681236673773986","0.6651119402985075","0.6651119402985075","0.6651119402985075","0.509728144989339","0.509728144989339","0.509728144989339","0.6539179104477612","0.6539179104477612","0.6539179104477612","0.6632462686567164","0.6632462686567164","0.6632462686567164","0.5597014925373134","0.5597014925373134","0.5597014925373134","0.7216151385927505","0.7216151385927505","0.7216151385927505","0.6540511727078892","0.6540511727078892","0.6540511727078892"
"2","0.6916311300639659","0.6916311300639659","0.6916311300639659","0.6110074626865672","0.6110074626865672","0.6110074626865672","0.40251865671641796","0.40251865671641796","0.40251865671641796","0.6871002132196162","0.6871002132196162","0.6871002132196162","0.6166044776119405","0.6166044776119405","0.6166044776119405","0.7028251599147122","0.7028251599147122","0.7028251599147122","0.814498933901919","0.814498933901919","0.814498933901919","0.697228144989339","0.697228144989339","0.697228144989339","0.7373400852878463","0.7373400852878463","0.7373400852878463","0.7801172707889127","0.7801172707889127","0.7801172707889127","0.7530650319829424","0.7530650319829424","0.7530650319829424","0.6213352878464818","0.6213352878464818","0.6213352878464818","0.6495202558635396","0.6495202558635396","0.6495202558635396","0.6139392324093816","0.6139392324093816","0.6139392324093816","0.7662579957356076","0.7662579957356076","0.7662579957356076","0.662313432835821","0.662313432835821","0.662313432835821","0.7281449893390193","0.7281449893390193","0.7281449893390193","0.6330623667377399","0.6330623667377399","0.6330623667377399","0.6744402985074627","0.6744402985074627","0.6744402985074627","0.7786513859275053","0.7786513859275053","0.7786513859275053","0.7941098081023454","0.7941098081023454","0.7941098081023454","0.7858475479744137","0.7858475479744137","0.7858475479744137","0.7160181236673774","0.7160181236673774","0.7160181236673774","0.3460820895522388","0.3460820895522388","0.3460820895522388","0.7569296375266524","0.7569296375266524","0.7569296375266524","0.6914978678038379","0.6914978678038379","0.6914978678038379","0.6227345415778252","0.6227345415778252","0.6227345415778252","0.831956289978678","0.831956289978678","0.831956289978678","0.8234275053304905","0.8234275053304905","0.8234275053304905","0.5235874200426439","0.5235874200426439","0.5235874200426439"
"3","0.763726012793177","0.763726012793177","0.763726012793177","0.814365671641791","0.814365671641791","0.814365671641791","0.6057436034115138","0.6057436034115138","0.6057436034115138","0.8081023454157781","0.8081023454157781","0.8081023454157781","0.584088486140725","0.584088486140725","0.584088486140725","0.728344882729211","0.728344882729211","0.728344882729211","0.7249466950959489","0.7249466950959489","0.7249466950959489","0.7305437100213219","0.7305437100213219","0.7305437100213219","0.8144989339019189","0.8144989339019189","0.8144989339019189","0.8342217484008528","0.8342217484008528","0.8342217484008528","0.8326226012793178","0.8326226012793178","0.8326226012793178","0.685501066098081","0.685501066098081","0.685501066098081","0.7754530916844349","0.7754530916844349","0.7754530916844349","0.7827825159914712","0.7827825159914712","0.7827825159914712","0.8087686567164178","0.8087686567164178","0.8087686567164178","0.8070362473347548","0.8070362473347548","0.8070362473347548","0.779184434968017","0.779184434968017","0.779184434968017","0.7584621535181237","0.7584621535181237","0.7584621535181237","0.7681236673773988","0.7681236673773988","0.7681236673773988","0.7962420042643924","0.7962420042643924","0.7962420042643924","0.6645788912579957","0.6645788912579957","0.6645788912579957","0.576492537313433","0.576492537313433","0.576492537313433","0.7723880597014926","0.7723880597014926","0.7723880597014926","0.8347547974413647","0.8347547974413647","0.8347547974413647","0.7370735607675907","0.7370735607675907","0.7370735607675907","0.7666577825159915","0.7666577825159915","0.7666577825159915","0.7314765458422174","0.7314765458422174","0.7314765458422174","0.8376865671641791","0.8376865671641791","0.8376865671641791","0.755996801705757","0.755996801705757","0.755996801705757","0.6363272921108742","0.6363272921108742","0.6363272921108742"
"4","0.4641524520255864","0.4641524520255864","0.4641524520255864","0.8136993603411513","0.8136993603411513","0.8136993603411513","0.8222281449893389","0.8222281449893389","0.8222281449893389","0.7206823027718551","0.7206823027718551","0.7206823027718551","0.7425373134328359","0.7425373134328359","0.7425373134328359","0.6886993603411514","0.6886993603411514","0.6886993603411514","0.8143656716417911","0.8143656716417911","0.8143656716417911","0.6637793176972282","0.6637793176972282","0.6637793176972282","0.8428837953091685","0.8428837953091685","0.8428837953091685","0.670175906183369","0.670175906183369","0.670175906183369","0.8394189765458422","0.8394189765458422","0.8394189765458422","0.5788246268656718","0.5788246268656718","0.5788246268656718","0.5966151385927505","0.5966151385927505","0.5966151385927505","0.7507995735607675","0.7507995735607675","0.7507995735607675","0.834088486140725","0.834088486140725","0.834088486140725","0.7583955223880596","0.7583955223880596","0.7583955223880596","0.8049040511727078","0.8049040511727078","0.8049040511727078","0.7570628997867803","0.7570628997867803","0.7570628997867803","0.8268923240938167","0.8268923240938167","0.8268923240938167","0.8159648187633263","0.8159648187633263","0.8159648187633263","0.5887526652452025","0.5887526652452025","0.5887526652452025","0.7762526652452025","0.7762526652452025","0.7762526652452025","0.6383928571428571","0.6383928571428571","0.6383928571428571","0.6703091684434968","0.6703091684434968","0.6703091684434968","0.6976279317697228","0.6976279317697228","0.6976279317697228","0.7759861407249468","0.7759861407249468","0.7759861407249468","0.7987739872068231","0.7987739872068231","0.7987739872068231","0.8384861407249468","0.8384861407249468","0.8384861407249468","0.8542777185501066","0.8542777185501066","0.8542777185501066","0.75386460554371","0.75386460554371","0.75386460554371"
"5","0.7638592750533049","0.7638592750533049","0.7638592750533049","0.8019722814498934","0.8019722814498934","0.8019722814498934","0.8123667377398721","0.8123667377398721","0.8123667377398721","0.845682302771855","0.845682302771855","0.845682302771855","0.707222814498934","0.707222814498934","0.707222814498934","0.8091684434968017","0.8091684434968017","0.8091684434968017","0.7899786780383795","0.7899786780383795","0.7899786780383795","0.7825159914712154","0.7825159914712154","0.7825159914712154","0.8443496801705757","0.8443496801705757","0.8443496801705757","0.7866471215351811","0.7866471215351811","0.7866471215351811","0.8566098081023454","0.8566098081023454","0.8566098081023454","0.5783582089552239","0.5783582089552239","0.5783582089552239","0.8322228144989339","0.8322228144989339","0.8322228144989339","0.8117004264392323","0.8117004264392323","0.8117004264392323","0.8267590618336887","0.8267590618336887","0.8267590618336887","0.6131396588486141","0.6131396588486141","0.6131396588486141","0.8121002132196162","0.8121002132196162","0.8121002132196162","0.6700426439232411","0.6700426439232411","0.6700426439232411","0.7886460554371001","0.7886460554371001","0.7886460554371001","0.806769722814499","0.806769722814499","0.806769722814499","0.6961620469083155","0.6961620469083155","0.6961620469083155","0.6336620469083157","0.6336620469083157","0.6336620469083157","0.7424040511727079","0.7424040511727079","0.7424040511727079","0.8119669509594882","0.8119669509594882","0.8119669509594882","0.7290111940298507","0.7290111940298507","0.7290111940298507","0.7825159914712153","0.7825159914712153","0.7825159914712153","0.6984275053304904","0.6984275053304904","0.6984275053304904","0.5578358208955224","0.5578358208955224","0.5578358208955224","0.8306236673773987","0.8306236673773987","0.8306236673773987","0.7289445628997868","0.7289445628997868","0.7289445628997868"
"6","0.6984275053304904","0.6984275053304904","0.6984275053304904","0.8111673773987207","0.8111673773987207","0.8111673773987207","0.7600613006396587","0.7600613006396587","0.7600613006396587","0.824227078891258","0.824227078891258","0.824227078891258","0.6728411513859276","0.6728411513859276","0.6728411513859276","0.7979744136460555","0.7979744136460555","0.7979744136460555","0.8316897654584222","0.8316897654584222","0.8316897654584222","0.7662579957356077","0.7662579957356077","0.7662579957356077","0.8299573560767591","0.8299573560767591","0.8299573560767591","0.8266257995735609","0.8266257995735609","0.8266257995735609","0.8468816631130064","0.8468816631130064","0.8468816631130064","0.7034914712153517","0.7034914712153517","0.7034914712153517","0.740405117270789","0.740405117270789","0.740405117270789","0.8364872068230277","0.8364872068230277","0.8364872068230277","0.8526119402985074","0.8526119402985074","0.8526119402985074","0.8186300639658849","0.8186300639658849","0.8186300639658849","0.8148987206823027","0.8148987206823027","0.8148987206823027","0.7380063965884862","0.7380063965884862","0.7380063965884862","0.8130330490405118","0.8130330490405118","0.8130330490405118","0.8464818763326226","0.8464818763326226","0.8464818763326226","0.6477878464818763","0.6477878464818763","0.6477878464818763","0.8214285714285714","0.8214285714285714","0.8214285714285714","0.7821162046908314","0.7821162046908314","0.7821162046908314","0.7920442430703625","0.7920442430703625","0.7920442430703625","0.8360874200426441","0.8360874200426441","0.8360874200426441","0.8287579957356078","0.8287579957356078","0.8287579957356078","0.7877132196162047","0.7877132196162047","0.7877132196162047","0.8619402985074627","0.8619402985074627","0.8619402985074627","0.8229610874200426","0.8229610874200426","0.8229610874200426","0.8322228144989339","0.8322228144989339","0.8322228144989339"
"7","0.8142324093816632","0.8142324093816632","0.8142324093816632","0.8371535181236673","0.8371535181236673","0.8371535181236673","0.7962420042643924","0.7962420042643924","0.7962420042643924","0.8362206823027719","0.8362206823027719","0.8362206823027719","0.7064232409381662","0.7064232409381662","0.7064232409381662","0.8098347547974415","0.8098347547974415","0.8098347547974415","0.8212953091684435","0.8212953091684435","0.8212953091684435","0.7961087420042643","0.7961087420042643","0.7961087420042643","0.8443496801705757","0.8443496801705757","0.8443496801705757","0.8346215351812367","0.8346215351812367","0.8346215351812367","0.837953091684435","0.837953091684435","0.837953091684435","0.7877132196162048","0.7877132196162048","0.7877132196162048","0.8371535181236675","0.8371535181236675","0.8371535181236675","0.7733208955223881","0.7733208955223881","0.7733208955223881","0.8135660980810234","0.8135660980810234","0.8135660980810234","0.7873134328358209","0.7873134328358209","0.7873134328358209","0.8122334754797441","0.8122334754797441","0.8122334754797441","0.7134861407249466","0.7134861407249466","0.7134861407249466","0.8199626865671642","0.8199626865671642","0.8199626865671642","0.8228944562899786","0.8228944562899786","0.8228944562899786","0.7999733475479744","0.7999733475479744","0.7999733475479744","0.8504797441364605","0.8504797441364605","0.8504797441364605","0.8191631130063967","0.8191631130063967","0.8191631130063967","0.7727212153518125","0.7727212153518125","0.7727212153518125","0.8076359275053305","0.8076359275053305","0.8076359275053305","0.8487473347547975","0.8487473347547975","0.8487473347547975","0.7707889125799573","0.7707889125799573","0.7707889125799573","0.8303571428571429","0.8303571428571429","0.8303571428571429","0.8494136460554371","0.8494136460554371","0.8494136460554371","0.8288912579957357","0.8288912579957357","0.8288912579957357"
"8","0.581756396588486","0.581756396588486","0.581756396588486","0.8198294243070362","0.8198294243070362","0.8198294243070362","0.8370202558635395","0.8370202558635395","0.8370202558635395","0.8366204690831557","0.8366204690831557","0.8366204690831557","0.814632196162047","0.814632196162047","0.814632196162047","0.7801172707889126","0.7801172707889126","0.7801172707889126","0.8347547974413646","0.8347547974413646","0.8347547974413646","0.8200959488272921","0.8200959488272921","0.8200959488272921","0.8566098081023453","0.8566098081023453","0.8566098081023453","0.8420842217484008","0.8420842217484008","0.8420842217484008","0.834088486140725","0.834088486140725","0.834088486140725","0.7854477611940298","0.7854477611940298","0.7854477611940298","0.8384861407249468","0.8384861407249468","0.8384861407249468","0.8354211087420044","0.8354211087420044","0.8354211087420044","0.8227611940298507","0.8227611940298507","0.8227611940298507","0.8434168443496801","0.8434168443496801","0.8434168443496801","0.8131663113006398","0.8131663113006398","0.8131663113006398","0.796908315565032","0.796908315565032","0.796908315565032","0.7971748400852878","0.7971748400852878","0.7971748400852878","0.8302238805970149","0.8302238805970149","0.8302238805970149","0.6980277185501067","0.6980277185501067","0.6980277185501067","0.8214285714285715","0.8214285714285715","0.8214285714285715","0.8074360341151385","0.8074360341151385","0.8074360341151385","0.6680437100213219","0.6680437100213219","0.6680437100213219","0.8030383795309168","0.8030383795309168","0.8030383795309168","0.810501066098081","0.810501066098081","0.810501066098081","0.7533981876332623","0.7533981876332623","0.7533981876332623","0.8634061833688699","0.8634061833688699","0.8634061833688699","0.8535447761194029","0.8535447761194029","0.8535447761194029","0.8500799573560768","0.8500799573560768","0.8500799573560768"
"9","0.564632196162047","0.564632196162047","0.564632196162047","0.7951759061833689","0.7951759061833689","0.7951759061833689","0.7593283582089552","0.7593283582089552","0.7593283582089552","0.7881130063965885","0.7881130063965885","0.7881130063965885","0.8111673773987207","0.8111673773987207","0.8111673773987207","0.7591950959488273","0.7591950959488273","0.7591950959488273","0.8479477611940298","0.8479477611940298","0.8479477611940298","0.8122334754797441","0.8122334754797441","0.8122334754797441","0.851545842217484","0.851545842217484","0.851545842217484","0.8340884861407251","0.8340884861407251","0.8340884861407251","0.7921108742004265","0.7921108742004265","0.7921108742004265","0.8363539445628998","0.8363539445628998","0.8363539445628998","0.8608742004264393","0.8608742004264393","0.8608742004264393","0.8431503198294243","0.8431503198294243","0.8431503198294243","0.8438166311300639","0.8438166311300639","0.8438166311300639","0.8330223880597014","0.8330223880597014","0.8330223880597014","0.8350213219616205","0.8350213219616205","0.8350213219616205","0.8036380597014925","0.8036380597014925","0.8036380597014925","0.8431503198294243","0.8431503198294243","0.8431503198294243","0.6496535181236673","0.6496535181236673","0.6496535181236673","0.7837153518123667","0.7837153518123667","0.7837153518123667","0.7813166311300641","0.7813166311300641","0.7813166311300641","0.7679904051172708","0.7679904051172708","0.7679904051172708","0.8062366737739872","0.8062366737739872","0.8062366737739872","0.830090618336887","0.830090618336887","0.830090618336887","0.6281316631130065","0.6281316631130065","0.6281316631130065","0.8234275053304905","0.8234275053304905","0.8234275053304905","0.8347547974413646","0.8347547974413646","0.8347547974413646","0.8387526652452025","0.8387526652452025","0.8387526652452025","0.7707889125799573","0.7707889125799573","0.7707889125799573"
